,train_loss,train_rmse,train_mape,train_wmape,valid_loss,valid_rmse,valid_mape,valid_wmape
89,0.58690399,0.91702794,0.00939734,0.00841162,0.65423769,0.91695389,0.01157428,0.01082042
90,0.58282074,0.91349675,0.0093672,0.00838176,0.6457777,0.90702069,0.0116196,0.0108752
91,0.58070061,0.90685695,0.00932608,0.00835454,0.68086541,0.94611076,0.01167327,0.01094333
92,0.58058932,0.90547684,0.00927744,0.00831636,0.63822585,0.89505333,0.01151679,0.01077438
93,0.57899538,0.90562564,0.00926458,0.0082993,0.65160131,0.91606838,0.01154136,0.01081044
94,0.57604325,0.89846779,0.00919534,0.00824942,0.65022826,0.90738118,0.01152406,0.01080327
95,0.57374725,0.89213203,0.0091627,0.00822474,0.64010841,0.8955338,0.01144087,0.01071476
96,0.57263154,0.89495419,0.00918939,0.00823521,0.65645665,0.91874006,0.01146791,0.01074243
97,0.57402998,0.89557979,0.00919481,0.00824023,0.63931388,0.89319107,0.01142909,0.01070427
98,0.57266214,0.89629027,0.0091429,0.00819899,0.64403701,0.90133315,0.01141374,0.01070965
99,0.57239351,0.88809457,0.00912042,0.00819585,0.65093899,0.9088802,0.01149484,0.01078715
100,0.56636104,0.8796868,0.00903423,0.00812001,0.63216245,0.8865318,0.01137936,0.01066083
101,0.5679732,0.88710436,0.00906681,0.00813521,0.6447497,0.90174615,0.0113451,0.01064663
102,0.56923097,0.88286874,0.00909508,0.00817044,0.64228815,0.89489371,0.01135917,0.0106644
103,0.56571117,0.88152376,0.00900813,0.00809225,0.63155377,0.88303155,0.01132991,0.01063344
104,0.56599304,0.88100982,0.00901046,0.00809765,0.64770162,0.90520796,0.01132422,0.0106358
105,0.56401441,0.87390465,0.00895962,0.00805954,0.6265918,0.87805587,0.01126018,0.01056799
106,0.56357199,0.87438837,0.00892611,0.00803153,0.63999295,0.8915478,0.01129854,0.01061603
107,0.56445545,0.87317799,0.00901358,0.00809711,0.64039528,0.89119607,0.01125473,0.01057183
108,0.5637542,0.87627086,0.00896196,0.0080535,0.62088317,0.86837465,0.01117512,0.01049661
109,0.56133732,0.86913022,0.0088932,0.00801013,0.64426327,0.89877903,0.01126678,0.01059706
110,0.56179038,0.87277842,0.00891462,0.00801562,0.62887877,0.8770304,0.01123235,0.01055159
111,0.55973306,0.86675981,0.00887241,0.00798801,0.63796324,0.88938785,0.01120665,0.01053943
112,0.55902213,0.86390045,0.00889551,0.00801042,0.62572467,0.87156454,0.01115037,0.01048888
113,0.55863574,0.8637014,0.00884048,0.00796893,0.62937629,0.87905991,0.01116681,0.01050829
114,0.5574562,0.86219579,0.00881822,0.00794208,0.63190371,0.87723777,0.0112502,0.01058139
