,train_loss,train_rmse,train_mape,train_wmape,valid_loss,valid_rmse,valid_mape,valid_wmape
0,1.22317511,1.73606836,0.01590968,0.01444469,0.69936522,0.99858072,0.01039276,0.00959589
1,0.62064305,0.95577228,0.00958603,0.0087154,0.54202367,0.80264929,0.00907181,0.00840483
2,0.50320043,0.79918559,0.0085759,0.0077963,0.47427665,0.72953907,0.00841431,0.00782467
3,0.45439648,0.73576795,0.00798037,0.00724715,0.45213802,0.70504924,0.00789067,0.00731611
4,0.43597406,0.70887364,0.00766658,0.00696441,0.45385307,0.69425378,0.00797529,0.00739816
5,0.41899547,0.68762702,0.00746855,0.00678013,0.44506007,0.6882355,0.00809094,0.00749625
6,0.40908861,0.67507681,0.00735519,0.00667119,0.43687657,0.67734318,0.00772006,0.00720192
7,0.3992686,0.66300032,0.00723409,0.00656095,0.42347973,0.6697191,0.00749369,0.00696966
8,0.39341921,0.65542277,0.00715345,0.00649282,0.42477838,0.66633831,0.00752295,0.00698762
9,0.38835517,0.64863538,0.0070709,0.00641618,0.41089501,0.65219248,0.00739701,0.00686102
10,0.3848784,0.64394437,0.00700973,0.00635811,0.41641307,0.65641826,0.00746417,0.00695169
11,0.37750774,0.63526234,0.00693268,0.00628417,0.41885715,0.65565461,0.00752386,0.00702199
12,0.3789415,0.63626768,0.0069313,0.00628362,0.42245639,0.65586384,0.00751289,0.0069954
13,0.37549305,0.63231371,0.00687334,0.00623111,0.4081685,0.64892372,0.00749475,0.00698614
14,0.3733116,0.62899098,0.00685205,0.00621196,0.41694168,0.65001838,0.00753792,0.00702455
15,0.37208808,0.62706913,0.00682116,0.00618341,0.40538384,0.64274147,0.00738808,0.00685945
16,0.36819182,0.62060422,0.006771,0.00614046,0.40310655,0.63992352,0.00736024,0.00685535
17,0.36826689,0.62187685,0.00677201,0.00614512,0.41855698,0.65394858,0.00772107,0.00715188
18,0.36774359,0.62082029,0.00678115,0.00614052,0.42793641,0.65690165,0.00771465,0.00715912
19,0.36336369,0.61493756,0.00671869,0.00608306,0.4021792,0.63896313,0.00737859,0.00688828
20,0.36181546,0.61043415,0.00669181,0.00606688,0.41973827,0.65231759,0.00764155,0.00708387
21,0.36149213,0.6121223,0.00666551,0.0060362,0.3984051,0.63595202,0.00731998,0.00683467
22,0.36013439,0.60798699,0.00663833,0.0060173,0.40363594,0.63976881,0.00727551,0.0067724
23,0.36100199,0.61041981,0.00663377,0.00601647,0.40444133,0.6383279,0.00740893,0.00688844
24,0.35999046,0.6060034,0.00659335,0.00598107,0.4118606,0.64211194,0.00726064,0.00673896
25,0.35374171,0.59961627,0.00654791,0.0059395,0.41244293,0.64399731,0.00754791,0.00701405
26,0.35389975,0.60113595,0.00657531,0.00596133,0.40632903,0.64372047,0.0075425,0.00700416
27,0.35653678,0.60046142,0.00654163,0.00593614,0.41765062,0.64637418,0.00761319,0.00708192
28,0.35199162,0.59597861,0.00652074,0.0059125,0.40128268,0.63393893,0.00728084,0.00676941
29,0.35169547,0.59448056,0.00650587,0.00590622,0.39492183,0.63442536,0.00738151,0.00682573
30,0.34863324,0.59124089,0.00648718,0.00588247,0.40869843,0.63789721,0.00749737,0.00700798
31,0.3493583,0.59133808,0.00646166,0.0058671,0.39925787,0.63190032,0.00734869,0.00684585
32,0.34893699,0.58982109,0.00644987,0.00585344,0.3942651,0.62722929,0.00735499,0.00681892
33,0.34855042,0.58915392,0.00646076,0.0058651,0.39738019,0.62884578,0.00725373,0.00675581
34,0.34634697,0.5879423,0.00644923,0.0058491,0.39267446,0.62774521,0.00723475,0.0067476
35,0.34727755,0.58700706,0.00641701,0.00582444,0.40852632,0.6389658,0.00723828,0.00673553
36,0.34711882,0.58643153,0.00642738,0.00583212,0.40699571,0.63680277,0.00738941,0.00691074
37,0.34308435,0.58176623,0.00640483,0.00581556,0.41330975,0.63908347,0.00770461,0.00719983
38,0.34317611,0.58221203,0.00640478,0.00580975,0.40775704,0.6410051,0.00736175,0.0068448
39,0.34302568,0.5824127,0.00641214,0.00581378,0.40578446,0.63296796,0.00742288,0.00690531
40,0.3449184,0.58384984,0.00637952,0.00578903,0.41949246,0.64962461,0.0074324,0.00693073
41,0.34382257,0.58157164,0.00641555,0.00582614,0.41653165,0.6415353,0.00756119,0.00707333
42,0.34144772,0.57803732,0.00634899,0.00576499,0.39268428,0.62896498,0.00720281,0.00666601
43,0.33722741,0.5717605,0.00631762,0.00573497,0.39310741,0.62641017,0.00727593,0.00678678
44,0.33766894,0.57238752,0.00631236,0.00573319,0.38979892,0.62107799,0.00724475,0.00673751
45,0.33686197,0.57136854,0.00631198,0.00572909,0.39851155,0.6275279,0.00726746,0.00676939
46,0.34065711,0.57480615,0.00634006,0.00575729,0.39519588,0.62845553,0.00734129,0.00682242
47,0.33716951,0.57038346,0.00629898,0.00572201,0.38574784,0.62023993,0.00713799,0.00665072
48,0.33523388,0.56753283,0.00625913,0.00568869,0.3952013,0.62800843,0.00720955,0.00671077
49,0.33614102,0.56975983,0.00626442,0.00568749,0.3907578,0.62395369,0.00721707,0.00672237
50,0.33460632,0.5668236,0.0062619,0.00568706,0.39041196,0.62328895,0.00714537,0.00666323
51,0.33436424,0.5655479,0.00623768,0.00566931,0.39185189,0.62167411,0.0073278,0.00684429
52,0.3342308,0.56511057,0.00625387,0.00568348,0.38992084,0.62272498,0.00727241,0.00678208
53,0.33527679,0.56666902,0.00629673,0.0057152,0.39997595,0.62690008,0.00742004,0.0069383
54,0.3330686,0.5632749,0.00622098,0.005653,0.40963942,0.64047566,0.00757457,0.0070595
55,0.33056682,0.55901349,0.00619075,0.00563047,0.3973899,0.6304382,0.00736347,0.00683825
56,0.33204236,0.5626408,0.00621419,0.00564624,0.40175096,0.6354038,0.00731015,0.00679373
57,0.33163071,0.55838778,0.00616342,0.00560834,0.3873535,0.62079789,0.00718057,0.0066607
58,0.3280378,0.5557335,0.00616153,0.0056007,0.39594086,0.62716763,0.0073535,0.00684274
59,0.33201376,0.56004115,0.00617534,0.00561673,0.39891972,0.62676451,0.00751857,0.00703267
60,0.33031822,0.5582317,0.00619457,0.00563017,0.39518025,0.625742,0.00735909,0.006835
61,0.32771402,0.5558489,0.00615557,0.00559151,0.40190934,0.63111945,0.00740021,0.00691756
62,0.3276106,0.55526454,0.00613819,0.00557994,0.39964699,0.62899375,0.00737625,0.00689252
63,0.32527706,0.55178886,0.00610649,0.00555627,0.40008314,0.62618836,0.00743241,0.00694097
64,0.32642765,0.55244279,0.00613069,0.00557341,0.40223722,0.6334377,0.00753072,0.00701561
65,0.3262616,0.55212443,0.00613962,0.00558642,0.39232154,0.62338498,0.0072472,0.00674891
66,0.32550707,0.55123573,0.00610499,0.00555502,0.39589363,0.62432225,0.0073092,0.00681333
67,0.32918275,0.55534717,0.00613679,0.00557979,0.39393627,0.62366035,0.00727632,0.00678414
