,train_loss,train_rmse,train_mape,train_wmape,valid_loss,valid_rmse,valid_mape,valid_wmape
0,0.32604066,0.49190422,1.50814346,0.45937512,0.19967161,0.30008221,1.532881,0.32692522
1,0.17704158,0.29041392,1.18498629,0.25804441,0.16112073,0.25081643,1.2810455,0.26964828
2,0.14886659,0.2537268,0.99269431,0.22044281,0.14307455,0.2316286,1.18310809,0.24529247
3,0.1373534,0.23853026,0.92092619,0.20467873,0.1393251,0.22671183,1.15490979,0.23761747
4,0.13285061,0.23170395,0.89463285,0.1985788,0.14540287,0.22720043,1.21112748,0.24895503
5,0.12916576,0.22714906,0.88430887,0.19374674,0.1390276,0.22368625,1.14686053,0.23884475
6,0.12655453,0.22407612,0.86377849,0.18942616,0.13677495,0.22085848,1.14377542,0.23446373
7,0.12448709,0.22107147,0.85121902,0.1867775,0.13419931,0.21993247,1.15734682,0.23224647
8,0.1225875,0.2188382,0.84265012,0.18418707,0.13374091,0.21778984,1.11601419,0.22930622
9,0.12168785,0.21705289,0.83869137,0.1829903,0.13120931,0.21547865,1.08575756,0.22548772
10,0.1205154,0.21563072,0.83063513,0.18121936,0.13309399,0.21767761,1.14857218,0.22868722
11,0.11891748,0.21338987,0.8277169,0.17921907,0.13238942,0.21685675,1.12615379,0.22723885
12,0.1195502,0.2150018,0.8257624,0.17993868,0.13246261,0.21535224,1.10283929,0.22634333
13,0.11825964,0.2127547,0.82112128,0.17799393,0.13189742,0.21609841,1.15218751,0.22917706
14,0.11766114,0.21162562,0.81560141,0.17724752,0.13329989,0.21577016,1.15546614,0.22987275
15,0.11772955,0.21171752,0.82089644,0.17745666,0.12772957,0.21197719,1.10933764,0.22033418
16,0.1166168,0.20978464,0.81424191,0.17568299,0.12803981,0.21186319,1.09569209,0.22146561
17,0.11673938,0.21011825,0.81923365,0.17596757,0.13072258,0.2160797,1.08399777,0.2247988
18,0.11661359,0.21009961,0.81053084,0.17579416,0.13667379,0.22005156,1.09741568,0.23340907
19,0.11532413,0.20826387,0.80619357,0.17373037,0.12716894,0.21112622,1.10147673,0.21922415
20,0.11512692,0.2070221,0.80864405,0.1735587,0.1322223,0.21522675,1.12379354,0.22806038
21,0.1153219,0.20793196,0.80742016,0.17393394,0.12792781,0.21205251,1.12031982,0.2217614
22,0.11474597,0.20689294,0.80131961,0.1730752,0.12833948,0.21114251,1.11826173,0.22156937
23,0.11505592,0.20673081,0.80023196,0.17315355,0.13123732,0.21656242,1.14273819,0.22666425
24,0.11452553,0.20679236,0.80188463,0.17261049,0.12788141,0.21102928,1.10874374,0.22060882
25,0.11342644,0.20425734,0.79712441,0.17083035,0.12878475,0.21153687,1.11821721,0.22294583
26,0.1133838,0.20478729,0.7965716,0.17099051,0.1274662,0.21065305,1.114642,0.22022751
27,0.11289688,0.20346955,0.79580882,0.16998692,0.13160687,0.21448654,1.11068796,0.22705242
28,0.11234075,0.20291089,0.79037071,0.16921547,0.12585533,0.21074317,1.10050186,0.21880528
29,0.11244839,0.20225606,0.79142818,0.16959172,0.12762883,0.21120835,1.09872976,0.22130186
30,0.11211541,0.20222915,0.79609531,0.16892264,0.13428396,0.21602114,1.12885737,0.23065684
31,0.11296286,0.20333755,0.79692465,0.17061308,0.12637539,0.20956349,1.0791655,0.21789182
32,0.11194459,0.20135026,0.79340073,0.16880484,0.12699524,0.20988638,1.07390868,0.21774027
33,0.11154481,0.20080551,0.79002906,0.16831338,0.13030847,0.21220959,1.12275734,0.22410563
34,0.1117578,0.20114008,0.79447395,0.16849085,0.12868278,0.21072604,1.10726886,0.22225899
35,0.11089882,0.19995132,0.78305602,0.16720984,0.12860439,0.21097674,1.09369043,0.21976898
36,0.11073724,0.20022263,0.78871669,0.16720348,0.12634046,0.21013289,1.08756465,0.21884004
37,0.11031988,0.19892705,0.7833363,0.16655646,0.12689182,0.20994076,1.10516844,0.21993353
38,0.11019741,0.19796821,0.78103983,0.16651973,0.12757691,0.20960856,1.07080663,0.21956239
39,0.11149755,0.20018239,0.78900268,0.16811991,0.12926957,0.21244969,1.11839849,0.22456786
40,0.11014136,0.19905039,0.78102467,0.16601209,0.12637796,0.20844723,1.10061939,0.21810502
41,0.10970455,0.19723996,0.78118076,0.16570688,0.12826297,0.21147768,1.1510775,0.22365724
42,0.11008634,0.19775015,0.78300739,0.16608089,0.12731389,0.210363,1.09877101,0.21978354
43,0.10943211,0.19667247,0.7851388,0.16518377,0.12586182,0.20986695,1.07512795,0.21758127
44,0.10968639,0.19797813,0.77669356,0.16542161,0.12966853,0.21043802,1.12130759,0.22501679
45,0.1094656,0.19718419,0.77445879,0.1650552,0.12771273,0.21074924,1.10544787,0.22118584
46,0.10915885,0.19711067,0.77946706,0.16488462,0.13048765,0.21152441,1.10367672,0.22381543
47,0.10903324,0.19636449,0.77616664,0.16443356,0.12674334,0.209226,1.11445886,0.21980497
48,0.10836385,0.19608928,0.77303557,0.16369932,0.12626755,0.20983495,1.06585309,0.21652533
49,0.10910347,0.19571904,0.77761916,0.16446479,0.12218604,0.20549577,1.06112824,0.2118209
50,0.10842314,0.19607823,0.76950041,0.16361978,0.12875993,0.21196182,1.09577793,0.22202588
51,0.11006152,0.19780172,0.77830699,0.16609432,0.13364927,0.2145155,1.12985227,0.23073729
52,0.10890566,0.19587444,0.776161,0.16425636,0.1327288,0.21301365,1.13287479,0.22806824
53,0.10867575,0.19541561,0.77178883,0.16383639,0.12556363,0.20947771,1.07646988,0.21686222
54,0.10770052,0.19358172,0.76973166,0.16252502,0.12681815,0.21030884,1.10690732,0.21951699
55,0.1087562,0.19525925,0.77197677,0.16393455,0.12489021,0.20905598,1.07598582,0.21505771
56,0.10774474,0.19379937,0.76726791,0.16265097,0.12841415,0.20981034,1.12008819,0.223271
57,0.10749323,0.19390111,0.76696078,0.16239238,0.12823704,0.21211771,1.08228435,0.22223905
58,0.1079167,0.194133,0.7651715,0.16271664,0.12734409,0.20885125,1.11691822,0.2210362
59,0.10747327,0.19400001,0.76704738,0.16237143,0.12765364,0.20870714,1.12272275,0.22179216
60,0.10693699,0.1926655,0.76690274,0.16158146,0.13086859,0.21245762,1.1377624,0.22831923
61,0.10718894,0.19329836,0.76682759,0.16201516,0.12667694,0.20974511,1.07411322,0.21868875
62,0.1072018,0.19330099,0.76129911,0.16166958,0.12524287,0.20837425,1.0967806,0.21587626
63,0.10710018,0.19229011,0.76719849,0.16185094,0.13010932,0.21149829,1.12539211,0.22588679
64,0.10702071,0.19302611,0.76562672,0.16170816,0.1270254,0.20975835,1.10914401,0.22020717
65,0.10694503,0.19171736,0.76130447,0.16116764,0.12952889,0.21201055,1.13925919,0.22531912
66,0.10644976,0.19132978,0.76252078,0.16073952,0.12512077,0.2088975,1.10569559,0.21778158
67,0.10612152,0.19076452,0.75597661,0.16004661,0.12533269,0.20779618,1.09850727,0.21843366
68,0.10652432,0.19159922,0.76411041,0.16105242,0.12585313,0.20833615,1.07469841,0.21567354
69,0.10646637,0.19083869,0.75941799,0.16073153,0.1277276,0.20942518,1.11766181,0.22294372
